                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.71281,                0.50556,                0.78682,                0.92198,                0.98652,                0.98418,                0.82098,                0.67682,                0.50494,                0.77661,             0.00073579,             0.00073579,             0.00073579
                     52,                0.76808,                0.51449,                0.78825,                0.98826,                0.95504,                0.98912,                0.79778,                0.71886,                0.48809,                0.78116,             0.00072164,             0.00072164,             0.00072164
                     53,                0.68424,                0.47603,                0.78724,                0.99151,                0.95606,                0.98944,                0.81398,                0.68335,                0.49536,                0.77666,              0.0007075,              0.0007075,              0.0007075
                     54,                0.65484,                0.46643,                 0.7856,                0.98475,                0.97859,                0.99053,                0.82062,                0.64449,                0.47354,                0.77602,             0.00069335,             0.00069335,             0.00069335
                     55,                0.61266,                0.45765,                0.77594,                0.98745,                0.97796,                0.99087,                0.82386,                0.65994,                0.47538,                0.77487,              0.0006792,              0.0006792,              0.0006792
                     56,                0.63032,                0.45669,                0.78428,                0.96657,                0.98039,                0.99051,                0.80804,                0.70037,                0.48447,                0.77594,             0.00066506,             0.00066506,             0.00066506
                     57,                0.70658,                0.45886,                0.78342,                0.96816,                0.98488,                0.98971,                0.80695,                0.73657,                0.50314,                0.77637,             0.00065091,             0.00065091,             0.00065091
                     58,                 0.6176,                0.43781,                0.78026,                 0.9727,                0.97351,                  0.988,                0.82624,                0.63083,                0.48706,                0.77196,             0.00063676,             0.00063676,             0.00063676
                     59,                 0.6469,                0.43245,                0.79307,                0.96258,                 0.9758,                0.98612,                0.82408,                 0.6333,                0.49456,                0.77126,             0.00062262,             0.00062262,             0.00062262
                     60,                0.65532,                0.43851,                0.77805,                0.96754,                0.97893,                0.98571,                0.80982,                0.70795,                0.49728,                0.77664,             0.00060847,             0.00060847,             0.00060847
                     61,                0.65136,                0.44726,                0.79206,                0.95692,                0.97543,                 0.9815,                0.80569,                0.69223,                0.50719,                0.77598,             0.00059432,             0.00059432,             0.00059432
                     62,                0.59234,                0.43525,                0.77929,                 0.9515,                0.96805,                 0.9841,                0.81449,                0.65498,                0.48852,                0.77365,             0.00058017,             0.00058017,             0.00058017
                     63,                0.66458,                0.43868,                0.76997,                0.96266,                0.98148,                0.98676,                0.81261,                0.69412,                0.48197,                0.77577,             0.00056603,             0.00056603,             0.00056603
                     64,                0.62183,                0.43066,                0.79973,                0.92031,                0.98693,                0.96973,                0.81132,                0.63575,                0.50863,                0.77167,             0.00055188,             0.00055188,             0.00055188
                     65,                0.68085,                0.45818,                 0.7755,                0.92061,                0.98693,                0.96554,                0.80282,                0.65143,                0.50421,                0.77314,             0.00053773,             0.00053773,             0.00053773
                     66,                0.61909,                0.42604,                 0.7758,                0.92616,                0.98693,                0.97438,                0.81744,                0.65622,                0.50001,                0.77439,             0.00052359,             0.00052359,             0.00052359
                     67,                0.63778,                 0.4465,                0.78308,                0.92184,                0.98693,                0.96291,                0.81647,                0.60654,                0.49803,                0.77198,             0.00050944,             0.00050944,             0.00050944
                     68,                0.59784,                0.41695,                0.78281,                0.92649,                0.98693,                0.96799,                 0.8216,                0.60083,                0.47916,                0.77177,             0.00049529,             0.00049529,             0.00049529
                     69,                0.60293,                0.43564,                 0.7765,                0.93159,                0.98693,                0.97605,                0.82301,                0.64049,                0.47912,                0.77301,             0.00048114,             0.00048114,             0.00048114
                     70,                0.58748,                0.41092,                  0.764,                0.93506,                0.98118,                 0.9789,                0.82915,                0.62083,                0.47172,                0.77344,               0.000467,               0.000467,               0.000467
                     71,                0.62771,                0.42356,                 0.7813,                0.95159,                0.98118,                0.98014,                0.81665,                0.64689,                 0.4669,                0.77458,             0.00045285,             0.00045285,             0.00045285
                     72,                 0.6016,                0.41315,                0.77843,                0.94298,                0.98118,                0.97663,                0.83476,                0.59853,                0.45964,                 0.7717,              0.0004387,              0.0004387,              0.0004387
                     73,                0.58122,                0.40973,                0.78523,                0.94089,                0.98118,                0.97453,                0.82875,                0.61476,                0.46915,                0.77145,             0.00042456,             0.00042456,             0.00042456
                     74,                0.60657,                0.40959,                0.79235,                0.95605,                0.97465,                0.98464,                0.82694,                 0.6349,                 0.4619,                0.77337,             0.00041041,             0.00041041,             0.00041041
                     75,                0.57717,                0.40846,                0.78265,                0.98123,                0.97465,                0.98998,                0.83758,                0.62175,                0.43991,                0.77279,             0.00039626,             0.00039626,             0.00039626
                     76,                0.67688,                0.43056,                0.78403,                0.98639,                0.97465,                0.99022,                0.83989,                0.59138,                0.45943,                0.76983,             0.00038211,             0.00038211,             0.00038211
                     77,                0.57469,                0.40986,                0.78325,                0.99252,                0.98029,                0.99049,                0.83838,                0.60996,                0.45843,                0.77072,             0.00036797,             0.00036797,             0.00036797
                     78,                0.59011,                0.39533,                0.78523,                0.99265,                0.97941,                0.99068,                0.82671,                0.67408,                0.45488,                0.77351,             0.00035382,             0.00035382,             0.00035382
                     79,                0.59274,                0.39394,                0.78414,                0.98928,                0.97234,                0.99083,                0.83897,                0.61376,                 0.4386,                0.77093,             0.00033967,             0.00033967,             0.00033967
                     80,                0.58231,                0.40363,                0.77878,                0.98932,                0.97465,                0.99071,                0.83495,                0.65973,                0.44753,                0.77274,             0.00032553,             0.00032553,             0.00032553
                     81,                0.65212,                0.42854,                0.78111,                0.98967,                0.97619,                0.99051,                0.83446,                0.65601,                0.44433,                0.77411,             0.00031138,             0.00031138,             0.00031138
                     82,                0.63999,                0.42668,                0.77736,                 0.9757,                0.97814,                 0.9905,                0.83708,                0.62475,                0.43697,                0.77515,             0.00029723,             0.00029723,             0.00029723
                     83,                 0.5782,                 0.4018,                0.77235,                0.96195,                0.97465,                0.98754,                 0.8357,                0.61064,                0.45081,                0.77196,             0.00028308,             0.00028308,             0.00028308
